Customer ID,Age,Gender,Category,Purchase Amount (USD),Payment Method,Review Rating,Discount Applied,Month,Location,Purchase History
1,27,Male,Books,822.12,Credit Card,1.2,Yes,November,Delhi,Frequent
2,60,Male,Books,1268.5,PayPal,3.8,Yes,November,Vijayawada,Frequent
3,19,Male,Sports,1949.77,Cash on Delivery,4.3,No,November,Mumbai,Frequent
4,41,Female,Books,195.33,Credit Card,1.2,Yes,July,Mumbai,Returning
5,25,Female,Electronics,1858.24,UPI,2.3,No,July,Delhi,Frequent
6,33,Female,Home,285.47,Cash on Delivery,2.3,No,August,Kolkata,Returning
7,44,Female,Home,1237.75,Debit Card,1.8,No,June,Bengaluru,Returning
8,40,Female,Beauty,221.31,UPI,3.9,No,July,Kolkata,Frequent
9,43,Female,Beauty,1152.79,Credit Card,2.1,Yes,January,Kolkata,Returning
10,39,Male,Home,1992.34,PayPal,4.8,Yes,December,Kolkata,Frequent
11,28,Male,Electronics,1866.77,Cash on Delivery,2.7,No,November,Vijayawada,Returning
12,21,Female,Books,769.33,PayPal,4.5,No,June,Delhi,New
13,57,Female,Clothing,1469.11,Cash on Delivery,1.4,Yes,January,Delhi,Frequent
14,19,Male,Beauty,357.69,UPI,1.9,No,June,Delhi,Returning
15,60,Female,Sports,364.65,Debit Card,1.7,No,April,Kolkata,Returning
16,47,Male,Sports,580.58,Credit Card,2.2,Yes,May,Chennai,New
17,53,Male,Books,1828.94,PayPal,2.1,Yes,September,Hyderabad,Returning
18,59,Female,Books,1030.42,PayPal,3.7,Yes,October,Hyderabad,New
19,18,Male,Clothing,1443.38,Cash on Delivery,4.0,Yes,July,Chennai,Returning
20,32,Male,Toys,32.6,PayPal,3.2,Yes,May,Chennai,Returning
21,34,Female,Home,448.17,Debit Card,1.7,No,January,Pune,Returning
22,20,Female,Toys,1145.83,Credit Card,4.7,Yes,February,Bengaluru,New
23,54,Female,Home,1003.23,Cash on Delivery,4.0,Yes,December,Hyderabad,Returning
24,33,Male,Home,390.52,Credit Card,2.4,No,September,Kolkata,Returning
25,43,Male,Beauty,735.22,Cash on Delivery,4.2,No,May,Bengaluru,New
26,55,Female,Books,539.36,Cash on Delivery,2.8,Yes,July,Vijayawada,Returning
27,48,Male,Grocery,57.12,Debit Card,4.5,Yes,March,Hyderabad,Returning
28,41,Female,Home,1296.73,Cash on Delivery,4.0,Yes,June,Mumbai,Returning
29,26,Male,Sports,1551.85,Debit Card,1.2,No,November,Delhi,Returning
30,41,Female,Home,817.9,Credit Card,2.9,Yes,March,Bengaluru,Frequent
31,30,Female,Beauty,283.26,PayPal,1.8,No,July,Chennai,New
32,45,Male,Books,1310.88,Credit Card,1.3,Yes,November,Pune,Returning
33,40,Female,Toys,1545.63,Debit Card,4.5,No,January,Delhi,Returning
34,25,Female,Home,150.0,Cash on Delivery,3.1,No,October,Delhi,Frequent
35,37,Female,Sports,1428.31,Debit Card,2.5,Yes,June,Hyderabad,Frequent
36,30,Female,Electronics,43.59,Debit Card,1.5,No,April,Chennai,Returning
37,36,Male,Grocery,1888.81,Cash on Delivery,4.4,No,May,Hyderabad,Returning
38,21,Male,Books,1421.37,Cash on Delivery,3.6,No,December,Pune,Frequent
39,59,Female,Beauty,683.61,Cash on Delivery,4.0,No,December,Kolkata,New
40,51,Male,Sports,1740.97,Debit Card,3.4,No,October,Hyderabad,New
41,35,Male,Clothing,654.43,Debit Card,3.1,No,October,Kolkata,Frequent
42,48,Male,Electronics,163.93,Debit Card,2.7,No,June,Pune,New
43,51,Female,Beauty,885.69,Credit Card,3.9,Yes,August,Kolkata,New
44,57,Female,Books,1709.84,Cash on Delivery,3.1,No,May,Mumbai,Returning
45,32,Female,Grocery,1057.07,Credit Card,3.6,No,August,Pune,New
46,41,Female,Books,1284.66,Debit Card,2.3,No,October,Chennai,New
47,27,Male,Books,1374.21,UPI,2.7,No,July,Kolkata,New
48,33,Male,Clothing,545.91,UPI,2.5,No,January,Delhi,New
49,58,Male,Sports,658.65,Cash on Delivery,2.6,No,March,Bengaluru,Returning
50,59,Female,Books,228.71,Credit Card,3.1,Yes,April,Pune,Frequent
51,55,Female,Books,174.2,UPI,2.7,No,December,Chennai,Returning
52,55,Male,Electronics,850.46,Debit Card,1.7,No,February,Hyderabad,Returning
53,53,Male,Grocery,541.0,Cash on Delivery,2.8,Yes,June,Kolkata,New
54,26,Male,Home,189.19,PayPal,4.2,No,January,Chennai,Frequent
55,21,Male,Sports,510.39,Debit Card,2.4,No,December,Bengaluru,New
56,21,Female,Sports,1359.89,Credit Card,2.8,Yes,August,Bengaluru,New
57,20,Female,Electronics,1995.95,Credit Card,1.3,No,July,Bengaluru,New
58,28,Male,Sports,713.39,Credit Card,3.4,No,November,Vijayawada,New
59,56,Female,Books,1393.23,Debit Card,4.5,No,March,Delhi,Returning
60,39,Male,Books,1585.8,PayPal,4.7,Yes,January,Kolkata,New
61,30,Female,Beauty,1654.09,UPI,3.7,Yes,May,Pune,New
62,31,Male,Home,1990.84,Cash on Delivery,3.7,No,March,Bengaluru,Returning
63,26,Male,Beauty,292.19,UPI,1.9,Yes,August,Hyderabad,Returning
64,22,Male,Clothing,1687.27,Debit Card,1.9,No,March,Bengaluru,Returning
65,51,Male,Electronics,331.04,PayPal,4.3,Yes,May,Vijayawada,New
66,23,Female,Sports,576.76,Credit Card,3.9,No,December,Mumbai,Frequent
67,24,Female,Clothing,1449.69,Cash on Delivery,1.7,No,January,Vijayawada,Frequent
68,43,Female,Electronics,1991.73,Debit Card,1.2,No,May,Kolkata,New
69,34,Male,Sports,355.99,Cash on Delivery,1.7,No,November,Vijayawada,New
70,52,Female,Home,532.31,Debit Card,1.3,Yes,November,Bengaluru,New
71,53,Male,Grocery,648.69,Cash on Delivery,4.8,Yes,February,Mumbai,Returning
72,59,Male,Books,1220.98,PayPal,4.3,No,September,Bengaluru,New
73,40,Female,Electronics,1242.3,PayPal,2.8,No,November,Chennai,Returning
74,45,Male,Electronics,1197.68,Debit Card,5.0,Yes,December,Delhi,Frequent
75,44,Male,Grocery,1351.41,UPI,2.7,No,February,Hyderabad,Frequent
76,49,Male,Electronics,484.55,Cash on Delivery,3.8,No,May,Vijayawada,Returning
77,27,Male,Clothing,49.5,Credit Card,1.6,No,September,Chennai,Frequent
78,44,Female,Beauty,547.8,Cash on Delivery,1.9,No,March,Hyderabad,New
79,55,Male,Home,1843.23,Cash on Delivery,2.6,Yes,April,Hyderabad,New
80,54,Male,Books,468.02,Cash on Delivery,4.8,Yes,June,Chennai,Returning
81,57,Female,Sports,801.93,Credit Card,3.2,No,January,Bengaluru,New
82,45,Male,Sports,1982.15,Debit Card,4.4,No,November,Chennai,New
83,43,Female,Clothing,1540.28,Credit Card,1.7,Yes,September,Pune,New
84,31,Male,Grocery,1086.36,Debit Card,3.9,Yes,May,Hyderabad,Frequent
85,28,Female,Electronics,1040.46,Cash on Delivery,3.6,Yes,September,Chennai,Returning
86,52,Male,Clothing,1445.43,Credit Card,2.2,Yes,May,Pune,Returning
87,42,Male,Beauty,1809.82,Credit Card,2.8,No,July,Bengaluru,Returning
88,30,Male,Sports,259.53,Debit Card,4.1,No,January,Kolkata,Frequent
89,60,Female,Sports,904.11,Credit Card,1.8,No,January,Bengaluru,New
90,46,Female,Books,758.56,Credit Card,3.5,Yes,December,Pune,New
91,36,Female,Toys,1155.08,UPI,1.7,Yes,May,Hyderabad,Frequent
92,49,Male,Sports,1816.07,Credit Card,1.4,No,February,Delhi,New
93,46,Male,Grocery,1107.05,PayPal,1.6,Yes,March,Delhi,Returning
94,32,Male,Grocery,716.37,UPI,2.5,Yes,April,Kolkata,Frequent
95,49,Male,Beauty,1366.12,Debit Card,4.1,No,November,Pune,Returning
96,36,Female,Grocery,1501.67,Cash on Delivery,4.7,Yes,January,Chennai,Returning
97,48,Male,Beauty,552.56,Debit Card,1.4,Yes,April,Kolkata,New
98,18,Female,Beauty,1475.64,Credit Card,1.5,No,January,Chennai,Frequent
99,50,Male,Home,1722.3,Cash on Delivery,3.1,Yes,July,Delhi,New
100,28,Male,Books,323.67,Credit Card,4.3,No,September,Mumbai,Frequent
101,37,Female,Home,1227.63,PayPal,3.8,Yes,January,Hyderabad,Frequent
102,45,Female,Toys,226.15,PayPal,3.0,Yes,June,Pune,Frequent
103,43,Female,Sports,1588.07,PayPal,1.2,Yes,January,Chennai,New
104,31,Female,Clothing,1828.19,Credit Card,2.0,Yes,October,Bengaluru,New
105,43,Female,Sports,938.0,UPI,2.7,No,February,Vijayawada,Returning
106,60,Female,Electronics,132.1,UPI,2.2,Yes,May,Mumbai,Frequent
107,35,Male,Beauty,731.88,UPI,3.7,Yes,September,Pune,Returning
108,35,Female,Home,1917.67,PayPal,1.9,Yes,February,Chennai,Returning
109,40,Female,Grocery,24.76,Debit Card,4.8,Yes,June,Chennai,Returning
110,29,Female,Sports,1454.44,Credit Card,4.0,No,January,Delhi,Frequent
111,34,Female,Beauty,179.08,Cash on Delivery,2.7,Yes,August,Mumbai,Returning
112,47,Female,Electronics,519.54,Debit Card,1.3,Yes,August,Pune,Returning
113,37,Male,Clothing,650.88,Debit Card,4.5,Yes,December,Pune,Frequent
114,32,Female,Clothing,1621.01,Credit Card,2.4,No,December,Mumbai,New
115,42,Male,Grocery,167.77,Cash on Delivery,2.6,Yes,November,Kolkata,New
116,18,Male,Sports,407.87,Debit Card,3.3,No,November,Delhi,New
117,51,Male,Clothing,568.21,Debit Card,1.5,Yes,December,Kolkata,New
118,18,Male,Clothing,1636.36,Debit Card,4.5,Yes,June,Chennai,Frequent
119,29,Female,Clothing,591.2,Cash on Delivery,4.7,Yes,December,Kolkata,New
120,27,Female,Clothing,331.01,Credit Card,1.7,Yes,June,Hyderabad,New
121,46,Male,Grocery,1860.5,Debit Card,2.8,Yes,September,Pune,New
122,46,Male,Toys,577.31,UPI,1.4,Yes,April,Chennai,New
123,24,Female,Toys,1191.96,PayPal,4.0,No,December,Mumbai,Returning
124,39,Female,Books,1079.6,Credit Card,2.5,No,February,Hyderabad,Frequent
125,29,Female,Toys,1674.43,Credit Card,4.3,No,May,Kolkata,New
126,19,Female,Books,1977.11,PayPal,2.1,No,September,Pune,Frequent
127,18,Female,Beauty,547.06,UPI,2.5,No,December,Pune,New
128,25,Female,Sports,555.47,PayPal,2.4,Yes,May,Hyderabad,Frequent
129,35,Female,Grocery,143.14,Cash on Delivery,1.9,Yes,October,Kolkata,New
130,34,Male,Beauty,161.94,PayPal,3.8,Yes,August,Mumbai,New
131,21,Female,Clothing,1535.35,UPI,4.1,No,April,Vijayawada,Returning
132,51,Male,Clothing,629.54,UPI,3.0,Yes,July,Mumbai,Frequent
133,37,Female,Toys,1906.14,UPI,5.0,No,April,Vijayawada,New
134,27,Female,Toys,421.3,UPI,3.9,Yes,June,Delhi,New
135,39,Female,Grocery,1493.28,Credit Card,1.1,No,September,Kolkata,Returning
136,45,Female,Home,582.13,UPI,2.3,No,January,Chennai,Returning
137,33,Male,Sports,1717.93,Credit Card,4.5,No,June,Mumbai,Frequent
138,50,Male,Books,424.38,Debit Card,3.6,Yes,November,Mumbai,New
139,54,Male,Home,283.4,Debit Card,4.4,No,June,Chennai,New
140,45,Female,Toys,1159.83,Credit Card,3.6,No,November,Vijayawada,Frequent
141,19,Male,Toys,854.74,Cash on Delivery,4.4,No,March,Kolkata,Returning
142,20,Female,Beauty,1682.9,Debit Card,1.4,No,November,Pune,New
143,25,Male,Books,1613.04,Cash on Delivery,2.0,Yes,May,Chennai,Returning
144,23,Female,Clothing,1795.38,Credit Card,1.9,Yes,June,Chennai,Frequent
145,26,Female,Beauty,653.14,UPI,3.1,Yes,September,Hyderabad,Returning
146,40,Male,Clothing,1167.54,Credit Card,3.8,No,February,Mumbai,New
147,35,Male,Home,496.86,Credit Card,3.5,Yes,February,Vijayawada,Frequent
148,42,Male,Clothing,1731.16,PayPal,1.7,No,June,Pune,New
149,27,Male,Grocery,1808.77,PayPal,3.9,No,December,Vijayawada,Returning
150,31,Male,Books,1221.07,Cash on Delivery,3.8,No,June,Chennai,New
151,57,Female,Grocery,968.15,UPI,3.6,Yes,March,Delhi,Returning
152,30,Male,Books,1636.15,PayPal,1.2,Yes,October,Vijayawada,Frequent
153,30,Male,Toys,142.39,Debit Card,3.7,Yes,January,Kolkata,Frequent
154,29,Male,Home,627.12,PayPal,1.3,No,July,Kolkata,Returning
155,60,Male,Grocery,984.69,PayPal,4.1,Yes,July,Vijayawada,New
156,55,Female,Clothing,1942.97,Credit Card,4.7,No,March,Delhi,Returning
157,36,Male,Home,879.19,UPI,1.4,No,January,Mumbai,Returning
158,27,Male,Clothing,1526.2,Cash on Delivery,1.5,Yes,March,Chennai,Returning
159,56,Male,Grocery,1275.91,UPI,2.3,Yes,August,Kolkata,Returning
160,25,Female,Sports,605.45,PayPal,3.6,Yes,August,Delhi,Returning
161,24,Female,Clothing,55.8,Debit Card,4.7,No,March,Delhi,New
162,19,Female,Clothing,153.82,Debit Card,1.3,No,February,Delhi,Returning
163,39,Male,Books,482.96,PayPal,2.0,Yes,June,Chennai,Frequent
164,51,Male,Clothing,1075.25,UPI,4.8,Yes,October,Hyderabad,Returning
165,28,Male,Grocery,1480.28,Cash on Delivery,2.5,No,March,Delhi,Returning
166,47,Male,Beauty,1291.93,Debit Card,3.8,Yes,February,Chennai,Frequent
167,58,Female,Clothing,1738.25,UPI,2.2,Yes,March,Kolkata,New
168,58,Female,Books,1221.12,PayPal,1.7,No,March,Kolkata,New
169,37,Female,Toys,244.13,Debit Card,1.8,Yes,December,Bengaluru,Returning
170,23,Male,Clothing,1328.31,PayPal,4.3,No,August,Chennai,Frequent
171,54,Male,Clothing,315.94,Credit Card,3.1,No,August,Hyderabad,Returning
172,31,Female,Beauty,1017.54,Credit Card,3.1,No,June,Kolkata,Frequent
173,46,Male,Home,614.77,Credit Card,3.9,Yes,August,Vijayawada,Frequent
174,49,Female,Electronics,1862.03,Credit Card,4.5,No,July,Vijayawada,New
175,42,Male,Books,1950.69,UPI,4.1,Yes,March,Hyderabad,Frequent
176,29,Female,Books,245.97,Cash on Delivery,4.9,No,June,Hyderabad,New
177,18,Female,Sports,1395.45,PayPal,1.4,No,October,Mumbai,New
178,56,Male,Beauty,1504.75,Debit Card,4.3,Yes,October,Chennai,Frequent
